Pergunta,Intenção,Resposta_Pré-definida,Classificação,Tokens,Etiqueta,Sentimento,Classificacao
agendar atendimento,encaminhamento,horário encaminhamento 8h a o 18h,Encaminhamento,agendar atendimento,b-atendimento b-atendimento b-atendimento,neutro,encaminhamento
documento necessário solicitar,informação,informação levar documento b.,Cancelamento,documento necessário solicitar,b-tempo b-tempo b-serviço,urgente,cancelamento
obter informação cadastrar,emergência,atendimento presencial,Encaminhamento,obter informação cadastrar,b-serviço b-tempo,neutro,encaminhamento
cancelar atendimento,emergência,emergência acer portal serviço,Emergência,cancelar atendimento,b-tempo b-doc,urgente,emergência
obter informação atendimento,emergência,caso emergência dirijar se a o atendimento presencial,Encaminhamento,obter informação atendimento,b-serviço b-tempo b-doc b-tempo,neutro,encaminhamento
horário solicitar,emergência,contato por o xx xxxx-xxxx,Cancelamento,horário solicitar,b-tempo b-tempo,urgente,cancelamento
encontrar informação consultar,encaminhamento,caso emergência dirijar se a o atendimento presencial,Informações,encontrar informação consultar,b-tempo b-atendimento b-doc,confuso,informação
cancelar atendimento,agendamento,horário agendamento 8h a o 18h,Informações,cancelar atendimento,b-atendimento b-serviço,confuso,informação
cancelar atendimento,serviço x,contato por o xx xxxx-xxxx,Cancelamento,cancelar atendimento,b-tempo b-tempo,frustrar,cancelamento
obter informação cadastrar,informação,encontrar informação informação site,Encaminhamento,obter informação cadastrar,b-doc b-atendimento,urgente,encaminhamento
telefone obter informação,encaminhamento,contato por o xx xxxx-xxxx,Cancelamento,telefone obter informação,b-serviço b-atendimento b-doc,urgente,cancelamento
cadastrar atendimento,agendamento,encontrar informação agendamento site,Emergência,cadastrar atendimento,b-atendimento b-doc b-serviço,confuso,emergência
consultar atendimento,serviço y,serviço y levar documento b.,Documentação,consultar atendimento,b-doc b-serviço b-doc,neutro,documentação
documento necessário consultar,agendamento,agendamento levar documento b.,Emergência,documento necessário consultar,b-atendimento b-doc b-tempo,confuso,emergência
cadastrar atendimento,serviço y,atendimento presencial,Documentação,cadastrar atendimento,b-doc b-atendimento b-doc,neutro,documentação
documento necessário solicitar,serviço x,caso emergência dirijar se a o atendimento presencial,Contato,documento necessário solicitar,b-atendimento b-tempo b-doc,neutro,contato
caso emergência,contato,cancelar contato por o portal,Contato,caso emergência,b-tempo b-serviço b-serviço,frustrar,contato
haver agendar presencial,serviço x,caso emergência dirijar se a o atendimento presencial,Informações,haver agendar presencial,b-doc,frustrar,informação
encontrar informação consultar,informação,horário informação 8h a o 18h,Documentação,encontrar informação consultar,b-atendimento b-tempo b-doc,urgente,documentação
encontrar informação consultar,serviço y,caso emergência dirijar se a o atendimento presencial,Emergência,encontrar informação consultar,b-serviço b-atendimento b-serviço,neutro,emergência
horário cadastrar,serviço y,encontrar informação serviço y site,Encaminhamento,horário cadastrar,b-doc b-tempo,urgente,encaminhamento
obter informação consultar,serviço y,contato por o xx xxxx-xxxx,Encaminhamento,obter informação consultar,b-tempo b-atendimento,neutro,encaminhamento
solicitar atendimento,serviço x,encontrar informação serviço x site,Informações,solicitar atendimento,b-tempo b-atendimento b-tempo,neutro,informação
preciso ajuda solicitar,serviço y,horário serviço y 8h a o 18h,Cancelamento,preciso ajudar solicitar,b-tempo b-tempo,neutro,cancelamento
horário obter informação,agendamento,precisar ajuda atendente a o disposição,Contato,horário obter informação,b-tempo b-atendimento b-serviço,neutro,contato
caso emergência,agendamento,horário agendamento 8h a o 18h,Documentação,caso emergência,b-tempo b-atendimento b-atendimento,neutro,documentação
telefone cadastrar,cancelamento,contato por o xx xxxx-xxxx,Encaminhamento,telefone cadastrar,b-tempo b-tempo,neutro,encaminhamento
haver agendar presencial,encaminhamento,encaminhamento levar documento b.,Emergência,haver agendar presencial,b-tempo,neutro,emergência
telefone verificar,encaminhamento,precisar ajuda atendente a o disposição,Encaminhamento,telefone verificar,b-atendimento b-tempo,neutro,encaminhamento
consultar atendimento,contato,cancelar contato por o portal,Encaminhamento,consultar atendimento,b-atendimento b-tempo b-doc,neutro,encaminhamento
obter informação atendimento,cancelamento,cancelar contato por o portal,Cancelamento,obter informação atendimento,b-serviço b-tempo b-tempo b-serviço,frustrar,cancelamento
cancelar atendimento,contato,cancelar contato por o portal,Cancelamento,cancelar atendimento,b-atendimento b-doc,neutro,cancelamento
obter informação agendar,emergência,precisar ajuda atendente a o disposição,Informações,obter informação agendar,b-doc b-tempo,frustrar,informação
obter informação agendar,encaminhamento,encontrar informação encaminhamento site,Cancelamento,obter informação agendar,b-tempo b-atendimento,neutro,cancelamento
encontrar informação solicitar,serviço y,serviço y disponível em o unidade,Informações,encontrar informação solicitar,b-tempo b-tempo b-serviço,confuso,informação
haver verificar presencial,encaminhamento,atendimento presencial,Documentação,haver verificar presencial,b-atendimento,confuso,documentação
telefone consultar,contato,contato por o xx xxxx-xxxx,Emergência,telefone consultar,b-serviço b-serviço,neutro,emergência
obter informação solicitar,informação,informação levar documento b.,Cancelamento,obter informação solicitar,b-tempo b-atendimento,neutro,cancelamento
verificar atendimento,contato,encontrar informação contato site,Documentação,verificar atendimento,b-tempo b-atendimento b-doc,neutro,documentação
encontrar informação verificar,encaminhamento,contato por o xx xxxx-xxxx,Encaminhamento,encontrar informação verificar,b-doc b-atendimento b-tempo,frustrar,encaminhamento
telefone cadastrar,agendamento,encontrar informação agendamento site,Encaminhamento,telefone cadastrar,b-serviço b-doc,frustrar,encaminhamento
solicitar atendimento,encaminhamento,atendimento presencial,Encaminhamento,solicitar atendimento,b-serviço b-serviço b-tempo,neutro,encaminhamento
preciso ajuda verificar,agendamento,agendamento disponível em o unidade,Cancelamento,preciso ajudar verificar,b-doc b-atendimento,frustrar,cancelamento
cancelar atendimento,serviço x,contato por o xx xxxx-xxxx,Encaminhamento,cancelar atendimento,b-atendimento b-tempo,confuso,encaminhamento
cancelar atendimento,contato,precisar ajuda atendente a o disposição,Emergência,cancelar atendimento,b-serviço b-serviço,neutro,emergência
documento necessário cadastrar,agendamento,agendamento acer portal serviço,Contato,documento necessário cadastrar,b-atendimento b-atendimento b-atendimento,neutro,contato
preciso ajuda cadastrar,contato,contato por o xx xxxx-xxxx,Contato,preciso ajudar cadastrar,b-atendimento b-atendimento,frustrar,contato
telefone verificar,cancelamento,cancelar contato por o portal,Informações,telefone verificar,b-tempo b-tempo,frustrar,informação
horário cadastrar,informação,contato por o xx xxxx-xxxx,Informações,horário cadastrar,b-serviço b-doc,neutro,informação
documento necessário obter informação,serviço x,caso emergência dirijar se a o atendimento presencial,Encaminhamento,documento necessário obter informação,b-atendimento b-doc b-atendimento b-atendimento,neutro,encaminhamento
telefone obter informação,encaminhamento,contato por o xx xxxx-xxxx,Informações,telefone obter informação,b-tempo b-serviço b-serviço,frustrar,informação
obter informação obter informação,contato,caso emergência dirijar se a o atendimento presencial,Encaminhamento,obter informação obter informação,b-tempo b-tempo b-serviço,neutro,encaminhamento
obter informação verificar,agendamento,atendimento presencial,Contato,obter informação verificar,b-tempo b-tempo,neutro,contato
obter informação cadastrar,serviço x,encontrar informação serviço x site,Emergência,obter informação cadastrar,b-doc b-doc,frustrar,emergência
caso emergência,encaminhamento,horário encaminhamento 8h a o 18h,Informações,caso emergência,b-doc b-atendimento b-serviço,neutro,informação
obter informação consultar,informação,informação disponível em o unidade,Encaminhamento,obter informação consultar,b-serviço b-serviço,frustrar,encaminhamento
documento necessário cadastrar,emergência,precisar ajuda atendente a o disposição,Informações,documento necessário cadastrar,b-tempo b-tempo b-tempo,urgente,informação
encontrar informação cadastrar,informação,contato por o xx xxxx-xxxx,Emergência,encontrar informação cadastrar,b-serviço b-serviço b-atendimento,frustrar,emergência
telefone solicitar,serviço x,encontrar informação serviço x site,Encaminhamento,telefone solicitar,b-doc b-doc,neutro,encaminhamento
haver solicitar presencial,contato,horário contato 8h a o 18h,Emergência,haver solicitar presencial,b-doc,confuso,emergência
caso emergência,cancelamento,atendimento presencial,Contato,caso emergência,b-doc b-atendimento b-doc,neutro,contato
encontrar informação agendar,informação,contato por o xx xxxx-xxxx,Informações,encontrar informação agendar,b-atendimento b-serviço b-tempo,urgente,informação
encontrar informação consultar,cancelamento,cancelamento acer portal serviço,Contato,encontrar informação consultar,b-doc b-doc b-atendimento,urgente,contato
cancelar atendimento,contato,cancelar contato por o portal,Encaminhamento,cancelar atendimento,b-atendimento b-serviço,frustrar,encaminhamento
preciso ajuda cadastrar,serviço x,horário serviço x 8h a o 18h,Informações,preciso ajudar cadastrar,b-doc b-tempo,neutro,informação
preciso ajuda agendar,encaminhamento,contato por o xx xxxx-xxxx,Contato,preciso ajudar agendar,b-serviço b-serviço,urgente,contato
documento necessário agendar,agendamento,caso emergência dirijar se a o atendimento presencial,Cancelamento,documento necessário agendar,b-doc b-tempo b-tempo,neutro,cancelamento
obter informação solicitar,cancelamento,cancelamento levar documento b.,Informações,obter informação solicitar,b-tempo b-serviço,frustrar,informação
haver solicitar presencial,serviço y,horário serviço y 8h a o 18h,Emergência,haver solicitar presencial,b-serviço,urgente,emergência
horário obter informação,encaminhamento,precisar ajuda atendente a o disposição,Cancelamento,horário obter informação,b-serviço b-atendimento b-serviço,neutro,cancelamento
preciso ajuda verificar,agendamento,cancelar contato por o portal,Informações,preciso ajudar verificar,b-doc b-serviço,urgente,informação
verificar atendimento,informação,atendimento presencial,Encaminhamento,verificar atendimento,b-serviço b-serviço b-atendimento,urgente,encaminhamento
obter informação consultar,serviço y,horário serviço y 8h a o 18h,Encaminhamento,obter informação consultar,b-doc b-tempo,neutro,encaminhamento
documento necessário verificar,serviço x,serviço x acer portal serviço,Informações,documento necessário verificar,b-atendimento b-tempo b-atendimento,frustrar,informação
cancelar atendimento,contato,caso emergência dirijar se a o atendimento presencial,Encaminhamento,cancelar atendimento,b-doc b-atendimento,confuso,encaminhamento
obter informação solicitar,emergência,atendimento presencial,Encaminhamento,obter informação solicitar,b-serviço b-atendimento,neutro,encaminhamento
cancelar atendimento,serviço x,serviço x levar documento b.,Emergência,cancelar atendimento,b-tempo b-serviço,neutro,emergência
preciso ajuda verificar,encaminhamento,encaminhamento disponível em o unidade,Contato,preciso ajudar verificar,b-doc b-serviço,neutro,contato
cadastrar atendimento,serviço x,atendimento presencial,Encaminhamento,cadastrar atendimento,b-doc b-tempo b-doc,urgente,encaminhamento
encontrar informação agendar,encaminhamento,encontrar informação encaminhamento site,Informações,encontrar informação agendar,b-doc b-serviço b-serviço,confuso,informação
horário consultar,serviço x,cancelar contato por o portal,Informações,horário consultar,b-doc b-tempo,neutro,informação
caso emergência,encaminhamento,encaminhamento levar documento b.,Informações,caso emergência,b-atendimento b-doc b-doc,neutro,informação
caso emergência,informação,informação disponível em o unidade,Documentação,caso emergência,b-atendimento b-atendimento b-tempo,frustrar,documentação
horário solicitar,agendamento,contato por o xx xxxx-xxxx,Cancelamento,horário solicitar,b-tempo b-doc,frustrar,cancelamento
caso emergência,agendamento,encontrar informação agendamento site,Informações,caso emergência,b-doc b-atendimento b-serviço,urgente,informação
telefone verificar,contato,contato levar documento b.,Informações,telefone verificar,b-tempo b-atendimento,urgente,informação
encontrar informação verificar,cancelamento,cancelamento levar documento b.,Cancelamento,encontrar informação verificar,b-serviço b-tempo b-doc,confuso,cancelamento
cancelar atendimento,agendamento,precisar ajuda atendente a o disposição,Contato,cancelar atendimento,b-atendimento b-serviço,frustrar,contato
caso emergência,serviço y,precisar ajuda atendente a o disposição,Cancelamento,caso emergência,b-atendimento b-atendimento b-doc,neutro,cancelamento
documento necessário obter informação,encaminhamento,encaminhamento acer portal serviço,Cancelamento,documento necessário obter informação,b-atendimento b-atendimento b-atendimento b-tempo,neutro,cancelamento
cancelar atendimento,agendamento,agendamento acer portal serviço,Emergência,cancelar atendimento,b-tempo b-doc,urgente,emergência
obter informação solicitar,agendamento,contato por o xx xxxx-xxxx,Contato,obter informação solicitar,b-serviço b-serviço,urgente,contato
horário obter informação,encaminhamento,encaminhamento disponível em o unidade,Encaminhamento,horário obter informação,b-atendimento b-tempo b-tempo,confuso,encaminhamento
haver obter informação presencial,contato,precisar ajuda atendente a o disposição,Contato,haver obter informação presencial,b-serviço b-serviço,neutro,contato
cadastrar atendimento,informação,cancelar contato por o portal,Contato,cadastrar atendimento,b-serviço b-serviço b-tempo,neutro,contato
documento necessário verificar,agendamento,atendimento presencial,Emergência,documento necessário verificar,b-serviço b-tempo b-atendimento,neutro,emergência
cancelar atendimento,contato,cancelar contato por o portal,Informações,cancelar atendimento,b-serviço b-atendimento,urgente,informação
horário verificar,emergência,precisar ajuda atendente a o disposição,Encaminhamento,horário verificar,b-tempo b-atendimento,frustrar,encaminhamento
cancelar atendimento,cancelamento,cancelamento levar documento b.,Emergência,cancelar atendimento,b-serviço b-tempo,confuso,emergência
cancelar atendimento,serviço y,atendimento presencial,Emergência,cancelar atendimento,b-doc b-atendimento,frustrar,emergência
caso emergência,serviço x,serviço x levar documento b.,Cancelamento,caso emergência,b-tempo b-atendimento b-atendimento,frustrar,cancelamento
preciso ajuda obter informação,agendamento,precisar ajuda atendente a o disposição,Cancelamento,preciso ajudar obter informação,b-doc b-serviço b-serviço,neutro,cancelamento
solicitar atendimento,contato,caso emergência dirijar se a o atendimento presencial,Encaminhamento,solicitar atendimento,b-tempo b-atendimento b-doc,neutro,encaminhamento
obter informação obter informação,informação,cancelar contato por o portal,Contato,obter informação obter informação,b-tempo b-tempo b-atendimento,urgente,contato
haver agendar presencial,emergência,cancelar contato por o portal,Encaminhamento,haver agendar presencial,b-doc,urgente,encaminhamento
documento necessário solicitar,informação,precisar ajuda atendente a o disposição,Informações,documento necessário solicitar,b-tempo b-doc b-atendimento,urgente,informação
haver solicitar presencial,cancelamento,cancelamento levar documento b.,Emergência,haver solicitar presencial,b-tempo,neutro,emergência
cancelar atendimento,serviço y,encontrar informação serviço y site,Encaminhamento,cancelar atendimento,b-doc b-doc,neutro,encaminhamento
haver agendar presencial,serviço x,caso emergência dirijar se a o atendimento presencial,Encaminhamento,haver agendar presencial,b-doc,neutro,encaminhamento
obter informação solicitar,encaminhamento,precisar ajuda atendente a o disposição,Encaminhamento,obter informação solicitar,b-serviço b-doc,frustrar,encaminhamento
preciso ajuda obter informação,agendamento,caso emergência dirijar se a o atendimento presencial,Contato,preciso ajudar obter informação,b-serviço b-atendimento b-doc,frustrar,contato
documento necessário agendar,serviço y,encontrar informação serviço y site,Informações,documento necessário agendar,b-tempo b-serviço b-serviço,frustrar,informação
obter informação cadastrar,contato,horário contato 8h a o 18h,Cancelamento,obter informação cadastrar,b-doc b-serviço,frustrar,cancelamento
solicitar atendimento,contato,contato por o xx xxxx-xxxx,Informações,solicitar atendimento,b-doc b-serviço b-tempo,frustrar,informação
obter informação solicitar,informação,horário informação 8h a o 18h,Contato,obter informação solicitar,b-atendimento b-serviço,neutro,contato
horário agendar,serviço y,cancelar contato por o portal,Informações,horário agendar,b-atendimento b-atendimento,neutro,informação
cancelar atendimento,informação,horário informação 8h a o 18h,Documentação,cancelar atendimento,b-tempo b-atendimento,urgente,documentação
preciso ajuda agendar,serviço x,encontrar informação serviço x site,Contato,preciso ajudar agendar,b-atendimento b-serviço,frustrar,contato
telefone agendar,informação,informação disponível em o unidade,Cancelamento,telefone agendar,b-doc b-tempo,frustrar,cancelamento
encontrar informação consultar,encaminhamento,contato por o xx xxxx-xxxx,Documentação,encontrar informação consultar,b-serviço b-atendimento b-serviço,neutro,documentação
encontrar informação solicitar,serviço x,serviço x acer portal serviço,Contato,encontrar informação solicitar,b-tempo b-doc b-tempo,frustrar,contato
cancelar atendimento,encaminhamento,contato por o xx xxxx-xxxx,Informações,cancelar atendimento,b-atendimento b-doc,neutro,informação
solicitar atendimento,serviço x,serviço x disponível em o unidade,Cancelamento,solicitar atendimento,b-atendimento b-tempo b-atendimento,neutro,cancelamento
encontrar informação obter informação,cancelamento,caso emergência dirijar se a o atendimento presencial,Documentação,encontrar informação obter informação,b-tempo b-serviço b-atendimento b-serviço,neutro,documentação
horário verificar,serviço y,atendimento presencial,Encaminhamento,horário verificar,b-doc b-doc,confuso,encaminhamento
caso emergência,emergência,emergência acer portal serviço,Documentação,caso emergência,b-serviço b-atendimento b-serviço,urgente,documentação
horário verificar,cancelamento,cancelamento disponível em o unidade,Cancelamento,horário verificar,b-tempo b-serviço,neutro,cancelamento
caso emergência,agendamento,precisar ajuda atendente a o disposição,Documentação,caso emergência,b-tempo b-doc b-atendimento,urgente,documentação
obter informação verificar,serviço y,encontrar informação serviço y site,Encaminhamento,obter informação verificar,b-tempo b-tempo,neutro,encaminhamento
haver agendar presencial,serviço x,serviço x disponível em o unidade,Emergência,haver agendar presencial,b-serviço,neutro,emergência
caso emergência,contato,contato disponível em o unidade,Informações,caso emergência,b-doc b-tempo b-atendimento,confuso,informação
documento necessário cadastrar,informação,precisar ajuda atendente a o disposição,Encaminhamento,documento necessário cadastrar,b-atendimento b-atendimento b-doc,frustrar,encaminhamento
encontrar informação obter informação,emergência,horário emergência 8h a o 18h,Emergência,encontrar informação obter informação,b-atendimento b-doc b-atendimento b-atendimento,neutro,emergência
horário agendar,serviço y,encontrar informação serviço y site,Encaminhamento,horário agendar,b-tempo b-serviço,urgente,encaminhamento
telefone obter informação,contato,contato disponível em o unidade,Informações,telefone obter informação,b-serviço b-doc b-tempo,neutro,informação
preciso ajuda agendar,serviço y,contato por o xx xxxx-xxxx,Informações,preciso ajudar agendar,b-atendimento b-serviço,confuso,informação
haver agendar presencial,cancelamento,cancelar contato por o portal,Emergência,haver agendar presencial,b-atendimento,neutro,emergência
encontrar informação cadastrar,cancelamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,encontrar informação cadastrar,b-atendimento b-doc b-doc,urgente,encaminhamento
obter informação atendimento,informação,horário informação 8h a o 18h,Emergência,obter informação atendimento,b-tempo b-tempo b-atendimento b-tempo,neutro,emergência
obter informação agendar,serviço y,serviço y levar documento b.,Encaminhamento,obter informação agendar,b-atendimento b-atendimento,neutro,encaminhamento
cancelar atendimento,emergência,emergência disponível em o unidade,Emergência,cancelar atendimento,b-doc b-doc,neutro,emergência
horário solicitar,agendamento,cancelar contato por o portal,Informações,horário solicitar,b-tempo b-tempo,confuso,informação
haver agendar presencial,encaminhamento,encontrar informação encaminhamento site,Encaminhamento,haver agendar presencial,b-serviço,urgente,encaminhamento
verificar atendimento,serviço y,precisar ajuda atendente a o disposição,Encaminhamento,verificar atendimento,b-serviço b-tempo b-atendimento,confuso,encaminhamento
documento necessário obter informação,emergência,contato por o xx xxxx-xxxx,Contato,documento necessário obter informação,b-doc b-atendimento b-tempo b-doc,neutro,contato
documento necessário solicitar,agendamento,agendamento acer portal serviço,Encaminhamento,documento necessário solicitar,b-serviço b-serviço b-tempo,neutro,encaminhamento
telefone solicitar,cancelamento,cancelamento disponível em o unidade,Documentação,telefone solicitar,b-tempo b-atendimento,confuso,documentação
preciso ajuda cadastrar,serviço x,encontrar informação serviço x site,Informações,preciso ajudar cadastrar,b-atendimento b-tempo,neutro,informação
obter informação solicitar,contato,cancelar contato por o portal,Contato,obter informação solicitar,b-serviço b-doc,neutro,contato
caso emergência,emergência,cancelar contato por o portal,Informações,caso emergência,b-doc b-doc b-atendimento,urgente,informação
encontrar informação consultar,contato,caso emergência dirijar se a o atendimento presencial,Documentação,encontrar informação consultar,b-serviço b-atendimento b-serviço,confuso,documentação
telefone consultar,serviço y,serviço y acer portal serviço,Contato,telefone consultar,b-serviço b-tempo,neutro,contato
documento necessário cadastrar,emergência,emergência disponível em o unidade,Informações,documento necessário cadastrar,b-doc b-tempo b-serviço,neutro,informação
cancelar atendimento,cancelamento,contato por o xx xxxx-xxxx,Cancelamento,cancelar atendimento,b-doc b-serviço,confuso,cancelamento
caso emergência,emergência,atendimento presencial,Informações,caso emergência,b-atendimento b-doc b-serviço,confuso,informação
encontrar informação cadastrar,informação,cancelar contato por o portal,Informações,encontrar informação cadastrar,b-doc b-serviço b-tempo,confuso,informação
caso emergência,encaminhamento,encontrar informação encaminhamento site,Cancelamento,caso emergência,b-serviço b-atendimento b-tempo,urgente,cancelamento
telefone cadastrar,cancelamento,cancelamento acer portal serviço,Encaminhamento,telefone cadastrar,b-tempo b-serviço,frustrar,encaminhamento
documento necessário obter informação,informação,informação levar documento b.,Emergência,documento necessário obter informação,b-tempo b-atendimento b-serviço b-doc,frustrar,emergência
horário consultar,serviço y,caso emergência dirijar se a o atendimento presencial,Documentação,horário consultar,b-atendimento b-atendimento,neutro,documentação
solicitar atendimento,contato,contato por o xx xxxx-xxxx,Informações,solicitar atendimento,b-serviço b-doc b-serviço,neutro,informação
obter informação verificar,cancelamento,horário cancelamento 8h a o 18h,Encaminhamento,obter informação verificar,b-atendimento b-atendimento,urgente,encaminhamento
horário obter informação,informação,cancelar contato por o portal,Contato,horário obter informação,b-atendimento b-serviço b-tempo,urgente,contato
horário agendar,contato,contato acer portal serviço,Cancelamento,horário agendar,b-doc b-atendimento,frustrar,cancelamento
documento necessário verificar,serviço y,cancelar contato por o portal,Encaminhamento,documento necessário verificar,b-doc b-atendimento b-doc,frustrar,encaminhamento
haver obter informação presencial,cancelamento,horário cancelamento 8h a o 18h,Encaminhamento,haver obter informação presencial,b-atendimento b-serviço,frustrar,encaminhamento
consultar atendimento,serviço x,cancelar contato por o portal,Documentação,consultar atendimento,b-tempo b-serviço b-serviço,confuso,documentação
caso emergência,serviço x,serviço x levar documento b.,Informações,caso emergência,b-tempo b-serviço b-serviço,frustrar,informação
caso emergência,cancelamento,precisar ajuda atendente a o disposição,Informações,caso emergência,b-doc b-atendimento b-doc,frustrar,informação
horário agendar,emergência,emergência disponível em o unidade,Informações,horário agendar,b-serviço b-atendimento,urgente,informação
horário cadastrar,encaminhamento,cancelar contato por o portal,Informações,horário cadastrar,b-doc b-tempo,neutro,informação
telefone solicitar,contato,encontrar informação contato site,Cancelamento,telefone solicitar,b-atendimento b-atendimento,frustrar,cancelamento
obter informação agendar,informação,atendimento presencial,Emergência,obter informação agendar,b-atendimento b-doc,neutro,emergência
preciso ajuda cadastrar,agendamento,cancelar contato por o portal,Informações,preciso ajudar cadastrar,b-doc b-doc,urgente,informação
horário cadastrar,serviço x,horário serviço x 8h a o 18h,Emergência,horário cadastrar,b-atendimento b-serviço,neutro,emergência
documento necessário solicitar,serviço x,serviço x acer portal serviço,Encaminhamento,documento necessário solicitar,b-tempo b-doc b-serviço,confuso,encaminhamento
telefone cadastrar,informação,cancelar contato por o portal,Encaminhamento,telefone cadastrar,b-serviço b-tempo,confuso,encaminhamento
horário agendar,agendamento,horário agendamento 8h a o 18h,Emergência,horário agendar,b-atendimento b-serviço,confuso,emergência
documento necessário consultar,agendamento,agendamento levar documento b.,Encaminhamento,documento necessário consultar,b-atendimento b-tempo b-serviço,urgente,encaminhamento
preciso ajuda consultar,contato,contato levar documento b.,Encaminhamento,preciso ajudar consultar,b-serviço b-tempo,confuso,encaminhamento
preciso ajuda agendar,emergência,cancelar contato por o portal,Documentação,preciso ajudar agendar,b-serviço b-serviço,neutro,documentação
telefone agendar,serviço y,serviço y levar documento b.,Encaminhamento,telefone agendar,b-atendimento b-atendimento,urgente,encaminhamento
caso emergência,agendamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,caso emergência,b-doc b-atendimento b-doc,confuso,encaminhamento
horário solicitar,contato,contato disponível em o unidade,Documentação,horário solicitar,b-atendimento b-tempo,urgente,documentação
cadastrar atendimento,serviço x,encontrar informação serviço x site,Emergência,cadastrar atendimento,b-tempo b-atendimento b-atendimento,confuso,emergência
preciso ajuda solicitar,serviço x,serviço x levar documento b.,Cancelamento,preciso ajudar solicitar,b-atendimento b-tempo,neutro,cancelamento
documento necessário solicitar,emergência,contato por o xx xxxx-xxxx,Emergência,documento necessário solicitar,b-atendimento b-atendimento b-doc,neutro,emergência
encontrar informação obter informação,serviço x,serviço x disponível em o unidade,Emergência,encontrar informação obter informação,b-serviço b-tempo b-atendimento b-serviço,neutro,emergência
encontrar informação agendar,contato,contato levar documento b.,Informações,encontrar informação agendar,b-tempo b-doc b-doc,confuso,informação
documento necessário verificar,serviço x,cancelar contato por o portal,Documentação,documento necessário verificar,b-atendimento b-serviço b-serviço,confuso,documentação
encontrar informação solicitar,encaminhamento,horário encaminhamento 8h a o 18h,Encaminhamento,encontrar informação solicitar,b-doc b-serviço b-serviço,neutro,encaminhamento
haver obter informação presencial,encaminhamento,encaminhamento disponível em o unidade,Contato,haver obter informação presencial,b-doc b-atendimento,neutro,contato
obter informação agendar,contato,cancelar contato por o portal,Cancelamento,obter informação agendar,b-tempo b-atendimento,frustrar,cancelamento
telefone agendar,agendamento,agendamento levar documento b.,Informações,telefone agendar,b-atendimento b-tempo,frustrar,informação
obter informação agendar,contato,contato acer portal serviço,Informações,obter informação agendar,b-serviço b-tempo,urgente,informação
obter informação solicitar,serviço y,serviço y disponível em o unidade,Informações,obter informação solicitar,b-atendimento b-serviço,confuso,informação
documento necessário verificar,serviço x,cancelar contato por o portal,Encaminhamento,documento necessário verificar,b-atendimento b-atendimento b-atendimento,frustrar,encaminhamento
telefone consultar,contato,contato acer portal serviço,Informações,telefone consultar,b-serviço b-doc,confuso,informação
telefone cadastrar,serviço x,precisar ajuda atendente a o disposição,Informações,telefone cadastrar,b-tempo b-serviço,neutro,informação
preciso ajuda consultar,serviço x,contato por o xx xxxx-xxxx,Documentação,preciso ajudar consultar,b-serviço b-atendimento,neutro,documentação
agendar atendimento,serviço y,cancelar contato por o portal,Emergência,agendar atendimento,b-doc b-serviço b-tempo,urgente,emergência
obter informação solicitar,cancelamento,caso emergência dirijar se a o atendimento presencial,Informações,obter informação solicitar,b-doc b-tempo,neutro,informação
caso emergência,cancelamento,encontrar informação cancelamento site,Informações,caso emergência,b-serviço b-doc b-serviço,urgente,informação
obter informação cadastrar,contato,atendimento presencial,Cancelamento,obter informação cadastrar,b-tempo b-atendimento,urgente,cancelamento
haver verificar presencial,emergência,horário emergência 8h a o 18h,Documentação,haver verificar presencial,b-serviço,frustrar,documentação
documento necessário verificar,emergência,contato por o xx xxxx-xxxx,Encaminhamento,documento necessário verificar,b-atendimento b-doc b-doc,frustrar,encaminhamento
horário agendar,informação,informação levar documento b.,Contato,horário agendar,b-doc b-tempo,frustrar,contato
preciso ajuda cadastrar,serviço y,caso emergência dirijar se a o atendimento presencial,Documentação,preciso ajudar cadastrar,b-serviço b-tempo,confuso,documentação
cancelar atendimento,encaminhamento,horário encaminhamento 8h a o 18h,Informações,cancelar atendimento,b-atendimento b-doc,urgente,informação
cadastrar atendimento,encaminhamento,caso emergência dirijar se a o atendimento presencial,Cancelamento,cadastrar atendimento,b-tempo b-atendimento b-doc,neutro,cancelamento
documento necessário solicitar,encaminhamento,precisar ajuda atendente a o disposição,Documentação,documento necessário solicitar,b-doc b-atendimento b-serviço,neutro,documentação
haver agendar presencial,encaminhamento,atendimento presencial,Encaminhamento,haver agendar presencial,b-tempo,urgente,encaminhamento
obter informação solicitar,emergência,atendimento presencial,Encaminhamento,obter informação solicitar,b-serviço b-atendimento,frustrar,encaminhamento
obter informação agendar,serviço y,caso emergência dirijar se a o atendimento presencial,Documentação,obter informação agendar,b-serviço b-atendimento,confuso,documentação
telefone obter informação,contato,contato disponível em o unidade,Informações,telefone obter informação,b-atendimento b-atendimento b-atendimento,frustrar,informação
telefone agendar,informação,contato por o xx xxxx-xxxx,Informações,telefone agendar,b-serviço b-serviço,frustrar,informação
encontrar informação cadastrar,agendamento,encontrar informação agendamento site,Informações,encontrar informação cadastrar,b-atendimento b-doc b-serviço,frustrar,informação
cancelar atendimento,informação,cancelar contato por o portal,Encaminhamento,cancelar atendimento,b-serviço b-atendimento,confuso,encaminhamento
solicitar atendimento,informação,informação levar documento b.,Contato,solicitar atendimento,b-doc b-doc b-serviço,urgente,contato
